NO;DATE;GULA PASIR LOKAL
232;22/11/2021;13150
233;23/11/2021;13200
234;24/11/2021;13200
235;25/11/2021;13200
236;26/11/2021;13200
237;29/11/2021;13200
238;30/11/2021;13200
239;01/12/2021;13200
240;02/12/2021;13200
241;03/12/2021;13200
242;06/12/2021;13200
243;07/12/2021;13200
244;08/12/2021;13200
245;09/12/2021;13200
246;10/12/2021;13250
247;13/12/2021;13250
248;14/12/2021;13250
249;15/12/2021;13250
250;16/12/2021;13250
251;17/12/2021;13250
252;20/12/2021;13250
253;21/12/2021;13250
254;22/12/2021;13300
255;23/12/2021;13350
256;24/12/2021;13350
257;27/12/2021;13350
258;28/12/2021;13300
259;29/12/2021;13300
260;30/12/2021;13300
261;31/12/2021;13300
262;03/01/2022;13350
263;04/01/2022;13350
264;05/01/2022;13350
265;06/01/2022;13350
266;07/01/2022;13350
267;10/01/2022;13450
268;11/01/2022;13550
269;12/01/2022;13600
270;13/01/2022;13750
271;14/01/2022;13800
272;17/01/2022;14000
273;18/01/2022;14100
274;19/01/2022;14100
275;20/01/2022;14150
276;21/01/2022;14150
277;24/01/2022;14200
278;25/01/2022;14200
279;26/01/2022;14200
280;27/01/2022;14200
281;28/01/2022;14200
282;31/01/2022;14200
283;01/02/2022;13500
284;02/02/2022;14200
285;03/02/2022;14200
286;04/02/2022;14200
287;07/02/2022;14200
288;08/02/2022;14200
289;09/02/2022;14200
290;10/02/2022;14200
291;11/02/2022;14250
292;14/02/2022;14200
293;15/02/2022;14200
294;16/02/2022;14200
295;17/02/2022;14250
296;18/02/2022;14200
297;21/02/2022;14200
298;22/02/2022;14200
299;23/02/2022;14200
300;24/02/2022;14200
301;25/02/2022;14200
302;28/02/2022;-
303;01/03/2022;14200
304;02/03/2022;14200
305;03/03/2022;-
306;04/03/2022;14200
307;07/03/2022;14200
308;08/03/2022;14200
309;09/03/2022;14200
310;10/03/2022;14200
311;11/03/2022;14250
312;14/03/2022;14250
313;15/03/2022;14250
314;16/03/2022;14300
315;17/03/2022;14400
316;18/03/2022;14350
317;21/03/2022;14450
318;22/03/2022;14500
319;23/03/2022;14500
320;24/03/2022;14500
321;25/03/2022;14500
322;28/03/2022;14600
323;29/03/2022;14600
324;30/03/2022;14600
325;31/03/2022;14600
326;01/04/2022;14700
327;04/04/2022;14700
328;05/04/2022;14700
329;06/04/2022;14700
330;07/04/2022;14700
331;08/04/2022;14750
332;11/04/2022;14750
333;12/04/2022;14750
334;13/04/2022;14800
335;14/04/2022;14800
336;15/04/2022;14450
337;18/04/2022;14800
338;19/04/2022;14800
339;20/04/2022;14800
340;21/04/2022;14800
341;22/04/2022;14850
342;25/04/2022;14800
343;26/04/2022;14850
344;27/04/2022;14850
345;28/04/2022;14850
346;29/04/2022;15000
347;02/05/2022;-
348;03/05/2022;-
349;04/05/2022;14750
350;05/05/2022;15400
351;06/05/2022;15400
352;09/05/2022;14850
353;10/05/2022;14850
354;11/05/2022;14850
355;12/05/2022;14850
356;13/05/2022;14850
357;16/05/2022;14750
358;17/05/2022;14850
359;18/05/2022;14850
360;19/05/2022;14850
361;20/05/2022;14850
362;23/05/2022;14800
363;24/05/2022;14800
364;25/05/2022;14800
365;26/05/2022;-
366;27/05/2022;14800
367;30/05/2022;14800
368;31/05/2022;14800
369;01/06/2022;-
370;02/06/2022;14750
371;03/06/2022;14750
372;06/06/2022;14750
373;07/06/2022;14750
374;08/06/2022;14750
375;09/06/2022;14750
376;10/06/2022;14750
377;13/06/2022;14750
378;14/06/2022;14750
379;15/06/2022;14750
380;16/06/2022;14750
381;17/06/2022;14750
382;20/06/2022;14700
383;21/06/2022;14700
384;22/06/2022;14650
385;23/06/2022;14650
386;24/06/2022;14650
387;27/06/2022;14650
388;28/06/2022;14650
389;29/06/2022;14650
390;30/06/2022;14650
391;01/07/2022;14650
392;04/07/2022;14600
393;05/07/2022;14600
394;06/07/2022;14600
395;07/07/2022;14600
396;08/07/2022;14600
397;11/07/2022;14600
398;12/07/2022;14600
399;13/07/2022;14600
400;14/07/2022;14600
401;15/07/2022;14600
402;18/07/2022;14550
403;19/07/2022;14550
404;20/07/2022;14550
405;21/07/2022;14550
406;22/07/2022;14550
407;25/07/2022;14550
408;26/07/2022;14550
409;27/07/2022;14550
410;28/07/2022;14550
411;29/07/2022;14550
412;01/08/2022;14550
413;02/08/2022;14550
414;03/08/2022;14550
415;04/08/2022;14550
416;05/08/2022;14550
417;08/08/2022;14550
418;09/08/2022;14650
419;10/08/2022;14550
420;11/08/2022;14550
421;12/08/2022;14550
422;15/08/2022;14500
423;16/08/2022;14500
424;17/08/2022;14650
425;18/08/2022;14500
426;19/08/2022;14500
427;22/08/2022;14500
428;23/08/2022;14500
429;24/08/2022;14500
430;25/08/2022;14500
431;26/08/2022;14500
432;29/08/2022;14500
433;30/08/2022;14500
434;31/08/2022;14500
435;01/09/2022;14500
436;02/09/2022;14500
437;05/09/2022;14500
438;06/09/2022;14450
439;07/09/2022;14500
440;08/09/2022;14500
441;09/09/2022;14500
442;12/09/2022;14500
443;13/09/2022;14650
444;14/09/2022;14500
445;15/09/2022;14500
446;16/09/2022;14500
447;19/09/2022;14450
448;20/09/2022;14450
449;21/09/2022;14450
450;22/09/2022;14450
451;23/09/2022;14450
452;26/09/2022;14450
453;27/09/2022;14450
454;28/09/2022;14450
455;29/09/2022;14450
456;30/09/2022;14450
457;03/10/2022;14450
458;04/10/2022;14450
459;05/10/2022;14450
460;06/10/2022;14450
461;07/10/2022;14450
462;10/10/2022;14450
463;11/10/2022;14450
464;12/10/2022;14400
465;13/10/2022;14400
466;14/10/2022;14400
467;17/10/2022;14400
468;18/10/2022;14400
469;19/10/2022;14400
470;20/10/2022;14400
471;21/10/2022;14400
472;24/10/2022;14400
473;25/10/2022;14400
474;26/10/2022;14400
475;27/10/2022;14400
476;28/10/2022;14400
477;31/10/2022;14400
478;01/11/2022;14400
479;02/11/2022;14400
480;03/11/2022;14400
481;04/11/2022;14350
482;07/11/2022;14400
483;08/11/2022;14400
484;09/11/2022;14400
485;10/11/2022;14350
486;11/11/2022;14400
487;14/11/2022;14400
488;15/11/2022;14400
489;16/11/2022;14400
490;17/11/2022;14400
491;18/11/2022;14400
492;21/11/2022;14400
493;22/11/2022;14400
494;23/11/2022;14400
495;24/11/2022;14400
496;25/11/2022;14400
497;28/11/2022;14400
498;29/11/2022;14400
499;30/11/2022;14400
500;01/12/2022;15000
501;02/12/2022;14400
502;05/12/2022;14400
503;06/12/2022;14400
504;07/12/2022;14400
505;08/12/2022;14400
506;09/12/2022;14400
507;12/12/2022;14400
508;13/12/2022;14400
509;14/12/2022;14400
510;15/12/2022;14400
511;16/12/2022;14400
512;19/12/2022;14400
513;20/12/2022;14400
514;21/12/2022;14400
515;22/12/2022;14400
516;23/12/2022;14400
517;26/12/2022;14400
518;27/12/2022;14400
519;28/12/2022;14400
520;29/12/2022;14350
521;30/12/2022;14350
